gutenberg_id,text,title
1513,,Romeo and Juliet
1513,Abraham.,Romeo and Juliet
1513,No better.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Sampson.,Romeo and Juliet
1513,"Well, sir.",Romeo and Juliet
1513,,Romeo and Juliet
1513,Gregory.,Romeo and Juliet
1513,Say better; here comes one of my master's kinsmen.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Sampson.,Romeo and Juliet
1513,"Yes, better, sir.",Romeo and Juliet
1513,,Romeo and Juliet
1513,Abraham.,Romeo and Juliet
1513,You lie.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Sampson.,Romeo and Juliet
1513,"Draw, if you be men.--Gregory, remember thy swashing blow.",Romeo and Juliet
1513,,Romeo and Juliet
1513,[They fight.],Romeo and Juliet
1513,,Romeo and Juliet
1513,[Enter Benvolio.],Romeo and Juliet
1513,,Romeo and Juliet
1513,Benvolio.,Romeo and Juliet
1513,"Part, fools! put up your swords; you know not what you do.",Romeo and Juliet
1513,[Beats down their swords.],Romeo and Juliet
1513,,Romeo and Juliet
1513,[Enter Tybalt.],Romeo and Juliet
1513,,Romeo and Juliet
1513,Tybalt.,Romeo and Juliet
1513,"What, art thou drawn among these heartless hinds?",Romeo and Juliet
1513,"Turn thee Benvolio, look upon thy death.",Romeo and Juliet
1513,,Romeo and Juliet
1513,Benvolio.,Romeo and Juliet
1513,"I do but keep the peace: put up thy sword,",Romeo and Juliet
1513,Or manage it to part these men with me.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Tybalt.,Romeo and Juliet
1513,"What, drawn, and talk of peace! I hate the word",Romeo and Juliet
1513,"As I hate hell, all Montagues, and thee:",Romeo and Juliet
1513,"Have at thee, coward!",Romeo and Juliet
1513,,Romeo and Juliet
1513,[They fight.],Romeo and Juliet
1513,,Romeo and Juliet
1513,"[Enter several of both Houses, who join the fray; then enter",Romeo and Juliet
1513,Citizens with clubs.],Romeo and Juliet
1513,,Romeo and Juliet
1513,1 Citizen.,Romeo and Juliet
1513,"Clubs, bills, and partisans! strike! beat them down!",Romeo and Juliet
1513,Down with the Capulets! Down with the Montagues!,Romeo and Juliet
1513,,Romeo and Juliet
1513,"[Enter Capulet in his gown, and Lady Capulet.]",Romeo and Juliet
1513,,Romeo and Juliet
1513,Capulet.,Romeo and Juliet
1513,"What noise is this?--Give me my long sword, ho!",Romeo and Juliet
1513,,Romeo and Juliet
1513,Lady Capulet.,Romeo and Juliet
1513,"A crutch, a crutch!--Why call you for a sword?",Romeo and Juliet
1513,,Romeo and Juliet
1513,Capulet.,Romeo and Juliet
1513,"My sword, I say!--Old Montague is come,",Romeo and Juliet
1513,And flourishes his blade in spite of me.,Romeo and Juliet
1513,,Romeo and Juliet
1513,[Enter Montague and his Lady  Montague.],Romeo and Juliet
1513,,Romeo and Juliet
1513,Montague.,Romeo and Juliet
1513,"Thou villain Capulet!-- Hold me not, let me go.",Romeo and Juliet
1513,,Romeo and Juliet
1513,Lady  Montague.,Romeo and Juliet
1513,Thou shalt not stir one foot to seek a foe.,Romeo and Juliet
1513,,Romeo and Juliet
